#SampleID	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Genus	Species	Instrument	isolation_source	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	source_material_id	SRA Study	create_date	version
SRR5836481	AMPLICON	151	4205954	PRJNA394790	SAMN07360277	Metagenome or environmental	2366017	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/29/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013284	Madagascar	Africa	"Madagascar:Andasibe\	Torotorofotsy-ProlemurCamp"	Gephyromantis	sculpturatus	Illumina MiSeq	Skin swab	18.7709 S 48.43222 E	J8.15	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J8.15	DNA extracted from sample J8.15	SRP112703	2017-07-18T09:09:00Z	1
SRR5836482	AMPLICON	151	9200581	PRJNA394790	SAMN07360254	Metagenome or environmental	4971444	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/29/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013283	Madagascar	Africa	"Madagascar:Andasibe\	Torotorofotsy-ProlemurCamp"	Aglyptodactylus	madagascariensis	Illumina MiSeq	Skin swab	18.7709 S 48.43222 E	J8.18	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J8.18	DNA extracted from sample J8.18	SRP112703	2017-07-18T09:09:00Z	1
SRR5836483	AMPLICON	151	2947369	PRJNA394790	SAMN07360292	Metagenome or environmental	1659323	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/29/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013282	Madagascar	Africa	"Madagascar:Andasibe\	Torotorofotsy-ProlemurCamp"	Plethodontohyla	mihanika	Illumina MiSeq	Skin swab	18.7709 S 48.43222 E	J8.17	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J8.17	DNA extracted from sample J8.17	SRP112703	2017-07-18T09:09:00Z	1
SRR5836484	AMPLICON	151	5675788	PRJNA394790	SAMN07360257	Metagenome or environmental	2903896	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/29/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013281	Madagascar	Africa	"Madagascar:Andasibe\	Torotorofotsy-ProlemurCamp"	Blommersia	blommersae	Illumina MiSeq	Skin swab	18.7709 S 48.43222 E	J8.2	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J8.2	DNA extracted from sample J8.2	SRP112703	2017-07-18T09:09:00Z	1
SRR5836485	AMPLICON	151	4353632	PRJNA394790	SAMN07360259	Metagenome or environmental	2233497	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/29/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013280	Madagascar	Africa	"Madagascar:Andasibe\	Torotorofotsy-ProlemurCamp"	Boophis	guibei	Illumina MiSeq	Skin swab	18.7709 S 48.43222 E	J8.19	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J8.19	DNA extracted from sample J8.19	SRP112703	2017-07-18T09:09:00Z	1
SRR5836486	AMPLICON	151	2361338	PRJNA394790	SAMN07359808	Metagenome or environmental	1304708	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/11/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013279	Madagascar	Africa	"Madagascar:Ranomafana\	Vatoharanana"	Mantella	baroni	Illumina MiSeq	Skin swab	21.28882 S 47.42963 E	J3.35	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J3.35	DNA extracted from sample J3.35	SRP112703	2017-07-18T09:09:00Z	1
SRR5836487	AMPLICON	151	2455562	PRJNA394790	SAMN07359781	Metagenome or environmental	1333888	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/11/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013278	Madagascar	Africa	"Madagascar:Ranomafana\	Vatoharanana"	Boophis	tasymena	Illumina MiSeq	Skin swab	21.28882 S 47.42963 E	J3.36	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J3.36	DNA extracted from sample J3.36	SRP112703	2017-07-18T09:09:00Z	1
SRR5836488	AMPLICON	151	2672247	PRJNA394790	SAMN07359836	Metagenome or environmental	1448076	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/11/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013277	Madagascar	Africa	"Madagascar:Ranomafana\	Vatoharanana"	Mantidactylus	melanopleura	Illumina MiSeq	Skin swab	21.28882 S 47.42963 E	J3.16	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J3.16	DNA extracted from sample J3.16	SRP112703	2017-07-18T09:09:00Z	1
SRR5836489	AMPLICON	151	5014559	PRJNA394790	SAMN07359787	Metagenome or environmental	2664651	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/11/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013276	Madagascar	Africa	"Madagascar:Ranomafana\	Vatoharanana"	Gephyromantis	asper	Illumina MiSeq	Skin swab	21.28882 S 47.42963 E	J3.12	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J3.12	DNA extracted from sample J3.12	SRP112703	2017-07-18T09:09:00Z	1
SRR5836490	AMPLICON	151	3373340	PRJNA394790	SAMN07359839	Metagenome or environmental	1783185	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/11/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013275	Madagascar	Africa	"Madagascar:Ranomafana\	Vatoharanana"	Spinomantis	aglavei	Illumina MiSeq	Skin swab	21.28882 S 47.42963 E	J3.40	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J3.40	DNA extracted from sample J3.40	SRP112703	2017-07-18T09:09:00Z	1
SRR5836491	AMPLICON	151	2677079	PRJNA394790	SAMN07359798	Metagenome or environmental	1499967	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/11/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013274	Madagascar	Africa	"Madagascar:Ranomafana\	Vatoharanana"	Gephyromantis	tschenki	Illumina MiSeq	Skin swab	21.28882 S 47.42963 E	J3.41	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J3.41	DNA extracted from sample J3.41	SRP112703	2017-07-18T09:09:00Z	1
SRR5836492	AMPLICON	151	3069679	PRJNA394790	SAMN07359799	Metagenome or environmental	1664001	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/11/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013273	Madagascar	Africa	"Madagascar:Ranomafana\	Vatoharanana"	Gephyromantis	tschenki	Illumina MiSeq	Skin swab	21.28882 S 47.42963 E	J3.42	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J3.42	DNA extracted from sample J3.42	SRP112703	2017-07-18T09:09:00Z	1
SRR5836493	AMPLICON	151	2068096	PRJNA394790	SAMN07359800	Metagenome or environmental	1118835	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/11/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013272	Madagascar	Africa	"Madagascar:Ranomafana\	Vatoharanana"	Gephyromantis	tschenki	Illumina MiSeq	Skin swab	21.28882 S 47.42963 E	J3.43	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J3.43	DNA extracted from sample J3.43	SRP112703	2017-07-18T09:09:00Z	1
SRR5836494	AMPLICON	151	2220757	PRJNA394790	SAMN07360654	Metagenome or environmental	1239820	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/9/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013271	Madagascar	Africa	"Madagascar:Ranomafana\	Ambatolahy"	Ptychadena	mascareniensis	Illumina MiSeq	Skin swab	21.24831 S 47.42994 E	J2.8	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J2.8	DNA extracted from sample J2.8	SRP112703	2017-07-18T09:09:00Z	1
SRR5836495	AMPLICON	151	8129991	PRJNA394790	SAMN07360653	Metagenome or environmental	4605119	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/9/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013270	Madagascar	Africa	"Madagascar:Ranomafana\	Ambatolahy"	Ptychadena	mascareniensis	Illumina MiSeq	Skin swab	21.24831 S 47.42994 E	J2.7	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J2.7	DNA extracted from sample J2.7	SRP112703	2017-07-18T09:09:00Z	1
SRR5836496	AMPLICON	151	4545704	PRJNA394790	SAMN07360632	Metagenome or environmental	2491103	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/8/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013269	Madagascar	Africa	"Madagascar:Ranomafana\	Talatakely"	Gephyromantis	asper	Illumina MiSeq	Skin swab	21.25553 S 47.2216 E	J2.6	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J2.6	DNA extracted from sample J2.6	SRP112703	2017-07-18T09:09:00Z	1
SRR5836497	AMPLICON	151	6382770	PRJNA394790	SAMN07360336	Metagenome or environmental	3322739	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	2/4/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013268	Madagascar	Africa	"Madagascar:Andasibe\	Torotorofotsy-Mine"	Mantella	aurantiaca	Illumina MiSeq	Skin swab	not collected	J2.50	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J2.50	DNA extracted from sample J2.50	SRP112703	2017-07-18T09:09:00Z	1
SRR5836498	AMPLICON	151	3304484	PRJNA394790	SAMN07359786	Metagenome or environmental	1717519	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/11/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013267	Madagascar	Africa	"Madagascar:Ranomafana\	Vatoharanana"	Gephyromantis	asper	Illumina MiSeq	Skin swab	21.28882 S 47.42963 E	J3.11	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J3.11	DNA extracted from sample J3.11	SRP112703	2017-07-18T09:09:00Z	1
SRR5836499	AMPLICON	151	3622339	PRJNA394790	SAMN07359776	Metagenome or environmental	1855802	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/11/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013266	Madagascar	Africa	"Madagascar:Ranomafana\	Vatoharanana"	Boophis	reticulatus	Illumina MiSeq	Skin swab	21.28882 S 47.42963 E	J3.10	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J3.10	DNA extracted from sample J3.10	SRP112703	2017-07-18T09:09:00Z	1
SRR5836500	AMPLICON	151	8740484	PRJNA394790	SAMN07359828	Metagenome or environmental	5072857	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/11/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013265	Madagascar	Africa	"Madagascar:Ranomafana\	Vatoharanana"	Mantidactylus	grandidieri	Illumina MiSeq	Skin swab	21.28882 S 47.42963 E	J3.02	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J3.02	DNA extracted from sample J3.02	SRP112703	2017-07-18T09:09:00Z	1
